"latitude","longitude","name","park_type","short_name","url"
-92.76354566426453,37.96786290349126,"Ha Ha Tonka State Park","State Park","Ha Ha Tonka SP","http://mostateparks.com/park/ha-ha-tonka-state-park"
-92.94457445908155,39.065044568771164,"Arrow Rock State Historic Site","State Historic Site","Arrow Rock SHS","http://mostateparks.com/park/arrow-rock-state-historic-site"
-90.12385407093906,38.83490797600394,"Edward \"Ted\" and Pat Jones-Confluence Point State Park","State Park","Confluence Point SP","http://mostateparks.com/park/edward-ted-and-pat-jones-confluence-point-state-park"
-94.21674925233187,39.655797897833764,"Wallace State Park","State Park","Wallace SP","http://mostateparks.com/park/wallace-state-park"
