scientific_name,common_name,current_distribution,family,status,image
'Acipenser fulvescens','Lake Sturgeon','AL, AR, GA, IA, IL, IN, KS, KY, LA, MI, MN, MO, MS, NE, NY, OH, PA, SD, TN, VT, WI, WV','Acipenseridae','Under Review in the Candidate or Petition Process','https://mnfi.anr.msu.edu/element-images/Acipenser-fulvescens-4743.jpg'
'Acronicta albarufa','Barrens Dagger Moth','AR, CO, CT, DE, GA, MA, MO, NC, NJ, NM, NY, OH, PA','Noctuidae','Not Listed','https://upload.wikimedia.org/wikipedia/commons/4/48/Acronicta_albarufa2.jpg'
'Agapetus artesus','Artesian Agapetus Caddisfly','MO','Glossosomatidae','Not Listed','https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Agapetus_iridipennis.jpg/200px-Agapetus_iridipennis.jpg'
'Alasmidonta marginata','Elktoe','AL, IN, KS, MD, MI, MN, MO, ND, NY, OH, OK, PA, SD, TN, VA, WI, WV','Unionidae','Not Listed','https://upload.wikimedia.org/wikipedia/commons/c/ca/Alasmidonta_marginata.jpg'
'Allocrangonyx hubrichti','Central Missouri cave amphipod','MO','Gammaridae','Not Listed','https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Allocrangonyxpelucidus2.jpg/1200px-Allocrangonyxpelucidus2.jpg'

